asv_id	Kingdom	Phylum	Class	Order	Family	Genus	ASV
ASV16049	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16049
ASV16050	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16050
ASV16051	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	ASV16051
ASV16052	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16052
ASV16053	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16053
ASV16054	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16054
ASV16055	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	f_Xylariaceae	ASV16055
ASV16056	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16056
ASV16057	Fungi	Basidiomycota	Dacrymycetes	Dacrymycetales	Cerinomycetaceae	Cerinomyces	ASV16057
ASV16058	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	o_Sebacinales	o_Sebacinales	ASV16058
ASV16059	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16059
ASV16060	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16060
ASV16061	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	ASV16061
ASV16062	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	o_Sebacinales	o_Sebacinales	ASV16062
ASV16063	Fungi	Basidiomycota	Agaricomycetes	c_Agaricomycetes	c_Agaricomycetes	c_Agaricomycetes	ASV16063
ASV16064	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	ASV16064
ASV16065	Fungi	Glomeromycota	p_Glomeromycota	p_Glomeromycota	p_Glomeromycota	p_Glomeromycota	ASV16065
ASV16066	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16066
ASV16067	Fungi	Ascomycota	Dothideomycetes	c_Dothideomycetes	c_Dothideomycetes	c_Dothideomycetes	ASV16067
ASV16068	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	ASV16068
ASV16069	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	ASV16069
ASV16070	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	f_Nectriaceae	ASV16070
ASV16071	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16071
ASV16072	Fungi	Ascomycota	Sordariomycetes	Pleurotheciales	Pleurotheciaceae	f_Pleurotheciaceae	ASV16072
ASV16073	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16073
ASV16074	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Ramariopsis	ASV16074
ASV16075	Fungi	Basidiomycota	Agaricomycetes	Agaricales	o_Agaricales	o_Agaricales	ASV16075
ASV16076	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16076
ASV16077	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Subulicystidium	ASV16077
ASV16078	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16078
