sample_id,LOC,SITE,TRAN,YEAR,AGE,TREAT,total_reads,total_asvs,coverage
AR_S11_T226_Y4_OLD_N,AR,S11,T226,Y4,OLD,N,151334,2473,extra_high (> 100k)
AR_S14_T028_Y0_YNG_CTL,AR,S14,T028,Y0,YNG,CTL,167524,1554,extra_high (> 100k)
AR_S14_T028_Y1_YNG_CTL,AR,S14,T028,Y1,YNG,CTL,105914,2001,extra_high (> 100k)
AR_S14_T028_Y4_YNG_CTL,AR,S14,T028,Y4,YNG,CTL,145472,2278,extra_high (> 100k)
AR_S14_T217_Y0_YNG_N,AR,S14,T217,Y0,YNG,N,146580,1493,extra_high (> 100k)
AR_S14_T217_Y1_YNG_N,AR,S14,T217,Y1,YNG,N,109800,1936,extra_high (> 100k)
AR_S14_T217_Y4_YNG_N,AR,S14,T217,Y4,YNG,N,128314,1945,extra_high (> 100k)
AR_S14_T218_Y0_YNG_P,AR,S14,T218,Y0,YNG,P,125631,1608,extra_high (> 100k)
AR_S14_T218_Y1_YNG_P,AR,S14,T218,Y1,YNG,P,100271,2187,extra_high (> 100k)
AR_S14_T218_Y4_YNG_P,AR,S14,T218,Y4,YNG,P,130824,2884,extra_high (> 100k)
AR_S14_T219_Y0_YNG_NP,AR,S14,T219,Y0,YNG,NP,114318,1497,extra_high (> 100k)
AR_S14_T219_Y1_YNG_NP,AR,S14,T219,Y1,YNG,NP,8022,396,medium (5-25k)
AR_S14_T219_Y4_YNG_NP,AR,S14,T219,Y4,YNG,NP,123720,2500,extra_high (> 100k)
AR_S70_T220_Y0_NEW_P,AR,S70,T220,Y0,NEW,P,138479,1694,extra_high (> 100k)
AR_S70_T220_Y1_NEW_P,AR,S70,T220,Y1,NEW,P,97894,1981,high (25-100k)
AR_S70_T220_Y4_NEW_P,AR,S70,T220,Y4,NEW,P,99415,1949,high (25-100k)
AR_S70_T221_Y0_NEW_N,AR,S70,T221,Y0,NEW,N,132092,1537,extra_high (> 100k)
AR_S70_T221_Y1_NEW_N,AR,S70,T221,Y1,NEW,N,19447,633,medium (5-25k)
AR_S70_T221_Y4_NEW_N,AR,S70,T221,Y4,NEW,N,105458,2085,extra_high (> 100k)
AR_S70_T222_Y0_NEW_CTL,AR,S70,T222,Y0,NEW,CTL,151062,1712,extra_high (> 100k)
AR_S70_T222_Y1_NEW_CTL,AR,S70,T222,Y1,NEW,CTL,65866,1666,high (25-100k)
AR_S70_T222_Y4_NEW_CTL,AR,S70,T222,Y4,NEW,CTL,126626,2210,extra_high (> 100k)
AR_S70_T223_Y0_NEW_NP,AR,S70,T223,Y0,NEW,NP,180764,1802,extra_high (> 100k)
AR_S70_T223_Y1_NEW_NP,AR,S70,T223,Y1,NEW,NP,96240,2126,high (25-100k)
AR_S70_T223_Y4_NEW_NP,AR,S70,T223,Y4,NEW,NP,132667,2345,extra_high (> 100k)
PG_S16_T032_Y0_YNG_CTL,PG,S16,T032,Y0,YNG,CTL,309549,2648,extra_high (> 100k)
PG_S16_T032_Y1_YNG_CTL,PG,S16,T032,Y1,YNG,CTL,111152,2125,extra_high (> 100k)
PG_S16_T032_Y4_YNG_CTL,PG,S16,T032,Y4,YNG,CTL,109110,2170,extra_high (> 100k)
PG_S16_T230_Y0_YNG_P,PG,S16,T230,Y0,YNG,P,153985,1672,extra_high (> 100k)
PG_S16_T230_Y1_YNG_P,PG,S16,T230,Y1,YNG,P,86796,1953,high (25-100k)
PG_S16_T230_Y4_YNG_P,PG,S16,T230,Y4,YNG,P,148268,2488,extra_high (> 100k)
PG_S16_T231_Y0_YNG_NP,PG,S16,T231,Y0,YNG,NP,132460,1566,extra_high (> 100k)
PG_S16_T231_Y1_YNG_NP,PG,S16,T231,Y1,YNG,NP,108471,1977,extra_high (> 100k)
PG_S16_T231_Y4_YNG_NP,PG,S16,T231,Y4,YNG,NP,124702,2192,extra_high (> 100k)
PG_S16_T232_Y0_YNG_N,PG,S16,T232,Y0,YNG,N,125319,1408,extra_high (> 100k)
PG_S16_T232_Y1_YNG_N,PG,S16,T232,Y1,YNG,N,64400,1306,high (25-100k)
PG_S16_T232_Y4_YNG_N,PG,S16,T232,Y4,YNG,N,125716,2342,extra_high (> 100k)
PG_S17_T034_Y0_OLD_CTL,PG,S17,T034,Y0,OLD,CTL,138071,1747,extra_high (> 100k)
PG_S17_T034_Y1_OLD_CTL,PG,S17,T034,Y1,OLD,CTL,105027,2577,extra_high (> 100k)
PG_S17_T034_Y4_OLD_CTL,PG,S17,T034,Y4,OLD,CTL,161644,3403,extra_high (> 100k)
PG_S17_T227_Y0_OLD_N,PG,S17,T227,Y0,OLD,N,83650,1317,high (25-100k)
PG_S17_T227_Y1_OLD_N,PG,S17,T227,Y1,OLD,N,95001,2593,high (25-100k)
PG_S17_T227_Y4_OLD_N,PG,S17,T227,Y4,OLD,N,112489,2132,extra_high (> 100k)
PG_S17_T228_Y0_OLD_NP,PG,S17,T228,Y0,OLD,NP,129884,1751,extra_high (> 100k)
